seq,timestamp_pub,timestamp_recv,latency_ms,message_size,duplicate,order_violation
1,1753175020.3867342,1753175020.7699451,383.2108974456787,65591,False,False
2,1753175020.400852,1753175020.8437235,442.8715705871582,65590,False,False
3,1753175020.417267,1753175020.9178295,500.5624294281006,65590,False,False
4,1753175020.4329326,1753175020.918617,485.6843948364258,65591,False,False
5,1753175020.4484553,1753175020.9621084,513.653039932251,65591,False,False
6,1753175020.4650896,1753175021.0650597,599.9701023101807,65591,False,False
7,1753175020.4825788,1753175021.1637096,681.1308860778809,65591,False,False
8,1753175020.49976,1753175021.2646706,764.9106979370117,65589,False,False
9,1753175020.5170836,1753175021.3658304,848.7467765808105,65591,False,False
10,1753175020.5335066,1753175021.4673166,933.8099956512451,65592,False,False
11,1753175020.5494077,1753175021.5684004,1018.9926624298096,65592,False,False
12,1753175020.564886,1753175021.669381,1104.4948101043701,65591,False,False
13,1753175020.580145,1753175021.770734,1190.589189529419,65591,False,False
14,1753175020.5953145,1753175021.8738325,1278.5179615020752,65592,False,False
15,1753175020.6110916,1753175021.9748838,1363.7921810150146,65592,False,False
16,1753175020.6261272,1753175022.074094,1447.9668140411377,65592,False,False
17,1753175020.6411924,1753175022.1747806,1533.588171005249,65592,False,False
18,1753175020.6564963,1753175022.2762291,1619.7328567504883,65592,False,False
19,1753175020.6720665,1753175022.3768709,1704.8044204711914,65592,False,False
20,1753175020.6867187,1753175022.4777398,1791.0211086273193,65592,False,False
21,1753175020.7021527,1753175022.5789924,1876.8396377563477,65592,False,False
22,1753175020.71746,1753175022.6796963,1962.2364044189453,65590,False,False
23,1753175020.7324135,1753175022.7808437,2048.4302043914795,65592,False,False
24,1753175020.7479827,1753175022.8824396,2134.4568729400635,65592,False,False
25,1753175020.7632499,1753175022.9834108,2220.160961151123,65592,False,False
26,1753175020.778758,1753175023.0840487,2305.290699005127,65591,False,False
27,1753175020.7941275,1753175023.1858647,2391.737222671509,65592,False,False
28,1753175020.809235,1753175023.2866724,2477.4372577667236,65591,False,False
29,1753175020.824492,1753175023.3867133,2562.2212886810303,65591,False,False
30,1753175020.8396971,1753175023.488307,2648.6098766326904,65592,False,False
31,1753175020.8551993,1753175023.5899885,2734.7891330718994,65592,False,False
32,1753175020.8705688,1753175023.6896334,2819.0646171569824,65592,False,False
33,1753175020.8860645,1753175023.7908762,2904.8116207122803,65592,False,False
34,1753175020.9017196,1753175023.8921735,2990.4539585113525,65592,False,False
35,1753175020.9160197,1753175023.992886,3076.866388320923,65592,False,False
36,1753175020.9317565,1753175024.0939953,3162.238836288452,65592,False,False
37,1753175020.9474723,1753175024.1945565,3247.084140777588,65592,False,False
38,1753175020.9630463,1753175024.2957828,3332.7364921569824,65592,False,False
39,1753175020.9784026,1753175024.3971705,3418.7679290771484,65592,False,False
40,1753175020.993909,1753175024.4989014,3504.9924850463867,65591,False,False
41,1753175021.0072668,1753175024.5985312,3591.264486312866,65592,False,False
42,1753175021.0218155,1753175024.6997218,3677.906274795532,65592,False,False
43,1753175021.0377572,1753175024.801047,3763.2899284362793,65592,False,False
44,1753175021.0543132,1753175024.9015806,3847.2673892974854,65592,False,False
45,1753175021.0730734,1753175025.003813,3930.739641189575,65592,False,False
46,1753175021.0895326,1753175025.1037452,4014.2126083374023,65592,False,False
47,1753175021.1053898,1753175025.204862,4099.472284317017,65592,False,False
48,1753175021.1222553,1753175025.3060706,4183.815240859985,65592,False,False
49,1753175021.1386247,1753175025.4080632,4269.4385051727295,65592,False,False
50,1753175021.1538885,1753175025.5078554,4353.966951370239,65592,False,False
51,1753175021.169045,1753175025.6114953,4442.450284957886,65591,False,False
52,1753175021.1836803,1753175025.710375,4526.694774627686,65592,False,False
53,1753175021.198718,1753175025.8115976,4612.879514694214,65591,False,False
54,1753175021.2133908,1753175025.911491,4698.1000900268555,65592,False,False
55,1753175021.2283702,1753175026.0130262,4784.656047821045,65592,False,False
56,1753175021.243252,1753175026.1133816,4870.129585266113,65591,False,False
57,1753175021.2581682,1753175026.2152205,4957.052230834961,65592,False,False
58,1753175021.2728968,1753175026.316415,5043.518304824829,65592,False,False
59,1753175021.2879488,1753175026.418159,5130.210161209106,65592,False,False
60,1753175021.3025637,1753175026.5178401,5215.276479721069,65592,False,False
61,1753175021.3193333,1753175026.6202493,5300.915956497192,65592,False,False
62,1753175021.3366928,1753175026.7196987,5383.005857467651,65592,False,False
63,1753175021.3532531,1753175026.820695,5467.44179725647,65592,False,False
64,1753175021.3693228,1753175026.922538,5553.215265274048,65592,False,False
65,1753175021.3850386,1753175027.0233057,5638.267040252686,65592,False,False
66,1753175021.4005873,1753175027.1240048,5723.417520523071,65592,False,False
67,1753175021.416262,1753175027.2246497,5808.387756347656,65591,False,False
68,1753175021.4315033,1753175027.3255858,5894.082546234131,65592,False,False
69,1753175021.4468594,1753175027.428605,5981.745719909668,65592,False,False
70,1753175021.4623857,1753175027.5305164,6068.130731582642,65592,False,False
71,1753175021.4779172,1753175027.6311238,6153.206586837769,65592,False,False
72,1753175021.4931555,1753175027.7317784,6238.6229038238525,65592,False,False
73,1753175021.5084815,1753175027.8314147,6322.933197021484,65592,False,False
74,1753175021.5239954,1753175027.933701,6409.705638885498,65592,False,False
75,1753175021.5394642,1753175028.035812,6496.347665786743,65592,False,False
76,1753175021.5550795,1753175028.137208,6582.128524780273,65592,False,False
